REKENING LAMA,REKENING BARU,NAMA REKENING BELANJA DAERAH,KODE KOMPONEN,TA,B1,B2,JENIS,FORMULIR
5.2.02.17.01.0012,5.2.02.17.001.00012,Belanja Modal Liquid from Solid Expelling (Expressor)-Equipment,1.3.02.17.01.0012,2026,,,SSH,5.2.02.17.001.00012 - Belanja Modal Liquid from Solid Expelling (Expressor)-Equipment
5.2.02.17.01.0013,5.2.02.17.001.00013,Belanja Modal Gas-Solid Drying Equipment,1.3.02.17.01.0013,2026,,,SSH,5.2.02.17.001.00013 - Belanja Modal Gas-Solid Drying Equipment
5.2.02.17.01.0014,5.2.02.17.001.00014,Belanja Modal Gas-Solid Fluidised Bed Equipment,1.3.02.17.01.0014,2026,,,SSH,5.2.02.17.001.00014 - Belanja Modal Gas-Solid Fluidised Bed Equipment
5.2.02.17.01.0015,5.2.02.17.001.00015,Belanja Modal Gas-Solid Separation Equipment,1.3.02.17.01.0015,2026,,,SSH,5.2.02.17.001.00015 - Belanja Modal Gas-Solid Separation Equipment
5.2.02.17.01.0016,5.2.02.17.001.00016,Belanja Modal Gas-Liquid Distillation Equipment,1.3.02.17.01.0016,2026,,,SSH,5.2.02.17.001.00016 - Belanja Modal Gas-Liquid Distillation Equipment
5.2.02.17.01.0017,5.2.02.17.001.00017,Belanja Modal Gas-Liquid Separation Equipment,1.3.02.17.01.0017,2026,,,SSH,5.2.02.17.001.00017 - Belanja Modal Gas-Liquid Separation Equipment
5.2.02.17.01.0018,5.2.02.17.001.00018,Belanja Modal Isotope Separation Equipment,1.3.02.17.01.0018,2026,,,SSH,5.2.02.17.001.00018 - Belanja Modal Isotope Separation Equipment
5.2.02.17.01.0019,5.2.02.17.001.00019,Belanja Modal Transport and Storage Equipment for Liquid,1.3.02.17.01.0019,2026,,,SSH,5.2.02.17.001.00019 - Belanja Modal Transport and Storage Equipment for Liquid
5.2.02.17.01.0020,5.2.02.17.001.00020,Belanja Modal Solid Material Handling Equipment,1.3.02.17.01.0020,2026,,,SSH,5.2.02.17.001.00020 - Belanja Modal Solid Material Handling Equipment
5.2.02.17.01.0021,5.2.02.17.001.00021,Belanja Modal Size Reduction Size Balargement Equipment,1.3.02.17.01.0021,2026,,,SSH,5.2.02.17.001.00021 - Belanja Modal Size Reduction Size Balargement Equipment
